sf__Id,sf__Error,External_Id__c,Site_ID_by_Customer__c,Name,Site_Name_by_Customer__c,Account__c,sitetracker__Site_Status__c
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",827714348.0,50138133zy-MACRO-006,ZY5GHZ0545,50138133zy-MACRO-006-ZY5GHZ0545,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",827714391.0,50138133zy-MACRO-026,ZY5GHZ0709,50138133zy-MACRO-026-ZY5GHZ0709,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879003403.0,ZY2485,ZY2485,ZY2485-ZY2485,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879003717.0,ZY2632,ZY2632,ZY2632-ZY2632,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004614.0,ZY2741,ZY2741,ZY2741-ZY2741,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004632.0,ZY2747,ZY2747,ZY2747-ZY2747,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004671.0,ZY2754,ZY2754,ZY2754-ZY2754,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004672.0,ZY2750,ZY2750,ZY2750-ZY2750,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004697.0,ZY2757,ZY2757,ZY2757-ZY2757,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004699.0,ZY2762,ZY2762,ZY2762-ZY2762,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004706.0,ZY2789,ZY2789,ZY2789-ZY2789,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004710.0,ZY2783,ZY2783,ZY2783-ZY2783,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004719.0,ZY2755,ZY2755,ZY2755-ZY2755,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004797.0,ZY2791,ZY2791,ZY2791-ZY2791,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004808.0,ZY2819,ZY2819,ZY2819-ZY2819,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004812.0,ZY2854,ZY2854,ZY2854-ZY2854,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004833.0,ZY2793,ZY2793,ZY2793-ZY2793,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004836.0,ZY2803,ZY2803,ZY2803-ZY2803,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004859.0,ZY2831,ZY2831,ZY2831-ZY2831,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004860.0,ZY2850,ZY2850,ZY2850-ZY2850,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004865.0,ZY2860,ZY2860,ZY2860-ZY2860,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004881.0,ZY2794,ZY2794,ZY2794-ZY2794,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004882.0,ZY5011,ZY5011,ZY5011-ZY5011,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004883.0,ZY2799,ZY2799,ZY2799-ZY2799,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004894.0,ZY2800,ZY2800,ZY2800-ZY2800,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879004895.0,ZY2863,ZY2863,ZY2863-ZY2863,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879008132.0,ZY2374,ZY2374,ZY2374-ZY2374,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009396.0,ZY2731,ZY2731,ZY2731-ZY2731,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
